Order ID,Order Date,Customer Name,Product Category,Region,Sales Channel,Units Sold,Unit Price,Order Notes,Revenue
1,2023-01-31,Sarah Wright,Groceries,North,Wholesale,69,4143,Rich vote represent black three conference true peace night.,285867
2,2023-12-30,Zoe Prince,Clothing,North,Online,54,2311,Today draw story Mrs few beyond thank serve school house.,124794
3,2022-05-10,David Waters,Furniture,North,Wholesale,56,2685,Man control movement exist society according water education fill everybody sit city style style.,150360
4,2023-07-18,Keith Wilcox,Books,North,Retail,1,4391,Reach here oil receive piece able heavy reveal deal learn speech dog fly.,4391
5,2023-02-04,Robert Lester,Clothing,West,Online,59,1421,Right quality bill money idea city bit.,83839
6,2022-12-31,Taylor Stevens,Clothing,East,Online,69,4707,Yet hear market interesting note public throughout.,324783
7,2022-11-10,Stephanie Torres DDS,Footwear,East,Wholesale,60,565,Few guess leave week member piece reality.,33900
8,2024-06-26,Katherine Miller,Books,South,Wholesale,13,1160,Look benefit beyond despite deep actually black price life back.,15080
9,2020-05-01,Sandra Rowe,Books,West,Online,52,4763,Meeting resource population by example rather cut create guess.,247676
10,2021-04-11,William Calderon,Books,East,Retail,52,1272,Sport keep create actually father doctor dream front sort case poor.,66144
11,2023-05-23,Olivia Wilson,Books,West,Wholesale,96,1228,Say various college according rule start such democratic us.,117888
12,2020-11-26,Elaine Wilson,Toys,South,Wholesale,96,1191,Agency how one fall customer program information contain.,114336
13,2024-01-22,Joseph Sellers,Books,East,Online,36,1982,Great college certainly environmental wrong life citizen structure what provide time ten.,71352
14,2020-03-28,Darlene Sanders,Toys,West,Retail,77,2439,Rich beat fear give organization sign wide find.,187803
15,2023-10-28,Robin Williams,Groceries,East,Online,84,3355,Security this least such for travel it such reduce.,281820
16,2023-01-28,David Dean,Toys,North,Online,18,4029,Air well born operation affect get reality turn.,72522
17,2022-05-21,Miranda Rowe,Toys,West,Wholesale,96,3112,Various away show myself section front relationship drop trouble.,298752
18,2020-05-10,Albert Crawford,Books,West,Retail,31,4609,Trial by bill nice ever affect top its show.,142879
19,2023-08-25,Michael Martinez,Books,South,Online,33,290,Image better baby effect stage also seem back firm.,9570
20,2022-02-08,Patricia Cox,Furniture,West,Online,20,2230,Short late television head partner mean stuff civil into attack open total opportunity.,44600
21,2020-12-09,Hayden Hammond,Groceries,South,Retail,32,4816,Site three lot physical several organization political together.,154112
22,2024-02-24,Lauren Hines,Footwear,South,Wholesale,61,2198,Tax main officer the discuss exist head be soldier soon.,134078
23,2023-12-08,Laura Dominguez,Clothing,West,Online,57,486,Station guy itself quickly several method many house.,27702
24,2022-03-16,Paul Watkins,Groceries,South,Wholesale,74,812,Rest season tough Mr realize program receive form test agreement lawyer.,60088
25,2021-01-20,Richard Gutierrez,Electronics,West,Wholesale,74,66,Face piece foreign low account win two I nice take pretty easy.,4884
26,2023-04-30,Amanda Browning,Books,South,Wholesale,4,3929,Continue oil art military agent wind fish tree recently well certain and.,15716
27,2022-08-13,James Griffin,Clothing,East,Retail,68,890,Subject citizen option plan hundred also.,60520
28,2020-10-03,Blake Juarez,Electronics,North,Retail,69,2660,Increase eight summer range trial so allow stand out strong participant carry.,183540
29,2023-03-30,Carl Williams,Toys,East,Wholesale,78,3240,All most good all ready suffer.,252720
30,2021-04-04,Troy Barry,Clothing,East,Retail,11,1337,Building perhaps care yard sense claim hard wall.,14707
31,2023-08-30,Brian Orozco,Groceries,East,Online,28,415,Collection front share take future head class science garden page parent school coach.,11620
32,2020-01-22,Kristie Garcia,Footwear,North,Wholesale,6,95,Forward raise color size possible trip particularly statement sometimes spend.,570
33,2020-09-09,Catherine Ferrell,Toys,West,Wholesale,7,961,Light push say around individual possible.,6727
34,2022-01-17,William Evans,Electronics,South,Wholesale,59,4191,Fund write before stock door win.,247269
35,2022-05-06,Jeremy Barrett,Toys,West,Online,84,1241,Research hit late around baby matter us dog hard people policy score discussion.,104244
36,2024-05-03,Shannon Greer,Toys,West,Retail,7,3855,Quite however house enough wish nor add rise.,26985
37,2021-04-19,Bridget Myers,Toys,West,Online,90,430,Upon trade interesting official career cultural you speech seem population someone bit.,38700
38,2022-12-18,Donna Diaz,Books,North,Wholesale,97,636,Pull could consumer toward son short follow born notice nearly.,61692
39,2021-05-25,John Thomas,Books,South,Online,54,2139,Sound bill grow chance woman focus hour song citizen audience.,115506
40,2024-02-08,Paul Mason,Electronics,South,Wholesale,79,1374,Meeting project middle environment house party care you risk writer leader spend.,108546
41,2021-11-30,Michael Woods,Groceries,North,Retail,14,668,Fall increase behind company world board range collection finally personal benefit great.,9352
42,2022-09-02,Kevin Lester,Footwear,North,Retail,50,2956,Job that investment weight mean heavy third.,147800
43,2020-07-08,Lindsay Forbes,Electronics,West,Wholesale,42,1394,Environment tree everyone it kid entire environment sure deal.,58548
44,2022-08-15,Kurt Winters,Groceries,South,Wholesale,86,3975,Forward service media cost wonder list enough foot marriage.,341850
45,2021-11-17,Nicholas Price,Clothing,East,Retail,57,3229,Never plan threat miss far ago financial next attention.,184053
46,2022-08-15,Sherri Dominguez,Footwear,South,Retail,41,3582,Television ok mind heart different news good field true candidate.,146862
47,2021-07-16,Jennifer Schneider,Groceries,North,Wholesale,3,1459,Congress material senior like act PM difference serve choose wide take teacher likely.,4377
48,2024-05-09,Mark Freeman,Electronics,North,Retail,4,1224,Or wrong thank society keep suffer task fear option how mother student front.,4896
49,2023-06-21,Kenneth Holmes,Electronics,East,Online,27,3914,Size less material then over treat skill prevent instead.,105678
50,2022-04-11,Christian Moore,Clothing,East,Wholesale,38,1884,Professor finally myself treatment leave wait among interview provide.,71592
51,2024-03-08,John Ellis,Toys,South,Online,60,2518,Charge send office apply old figure allow.,151080
52,2023-02-28,Mrs. Tina Robinson,Footwear,South,Online,41,4535,Sign add down cause fund gas.,185935
53,2024-02-17,Michael Andrade,Electronics,South,Online,44,3742,Which many job visit old pressure find painting why measure nation especially.,164648
54,2021-10-08,Amber Carr,Furniture,West,Wholesale,58,1263,Relationship for wife writer gas hair ball tonight.,73254
55,2020-01-21,Stephanie West,Toys,South,Online,56,561,Father huge gun movement guess skill government.,31416
56,2022-04-20,Ashley Sampson,Footwear,South,Retail,27,1533,Account it work happen mother TV pay now financial rest.,41391
57,2020-06-15,Kevin Jones,Footwear,South,Wholesale,92,4755,Little partner with very catch small accept.,437460
58,2023-07-21,Michael Oneal,Electronics,East,Retail,72,1072,Early together other officer drug decade her budget class lose.,77184
59,2021-01-22,Mr. Gregory Leonard,Furniture,South,Wholesale,20,4288,Member look term film recognize by possible thus assume only crime country.,85760
60,2021-08-23,Kenneth Alexander,Electronics,East,Retail,96,2531,Life represent impact coach down majority admit wind.,242976
61,2020-11-11,Mary Woods,Electronics,North,Wholesale,36,749,Black their leg become to recognize bed thank memory member PM.,26964
62,2020-01-14,Wayne Meyer,Clothing,West,Retail,37,1846,Pass other mention what how last administration politics speech eight story.,68302
63,2020-08-29,Angela Wilson,Toys,East,Online,84,4725,Be probably space above glass daughter design own economic card teach difficult could.,396900
64,2022-02-15,Dr. Jessica Bell,Furniture,South,Retail,96,374,Economy type role performance affect out.,35904
65,2023-10-01,Allison Vang,Footwear,East,Wholesale,91,910,Build cold year peace physical air.,82810
66,2021-07-18,Angel Smith,Clothing,South,Retail,88,3537,Share cover heavy yes interview paper result.,311256
67,2022-06-16,Anthony Jones,Furniture,West,Retail,50,1948,Maintain another teacher around away family public now assume hot property sing garden.,97400
68,2023-09-25,Jeanne Lopez,Furniture,West,Wholesale,97,237,Simply feel voice simple either total break kind always give.,22989
69,2020-04-01,Matthew Rich,Footwear,East,Wholesale,78,3896,Main subject short population yes official method guy popular with ok central force.,303888
70,2023-10-22,Jennifer Jacobs,Footwear,West,Retail,33,4408,Determine likely across boy quickly expert market memory stay age.,145464
71,2022-08-13,Wayne Mcdaniel,Books,West,Retail,60,1967,Happen sense so sister friend for recognize nice do blood certain majority.,118020
72,2024-01-18,James Weber,Furniture,East,Online,77,4935,Friend work current begin contain left possible any population third product oil pass.,379995
73,2023-12-22,Caitlin Friedman,Clothing,West,Wholesale,85,4829,Thank how challenge father pattern manager sign significant mouth very dark finally.,410465
74,2021-05-23,Theresa Mccoy,Clothing,South,Online,22,2188,Institution would appear serve all east what.,48136
75,2022-02-14,Frederick Barnes,Groceries,East,Online,96,2221,Candidate their care worry various doctor leg hard it human security might.,213216
76,2020-02-04,Carmen Ortiz,Toys,West,Wholesale,4,2199,Raise cost continue strategy road father agreement responsibility live world.,8796
77,2020-07-24,David Williams,Toys,South,Wholesale,50,4325,Organization town from popular why address debate model three first.,216250
78,2023-01-09,Tara Collins,Toys,West,Retail,68,4603,Personal first lay big spend eight pay never not let.,313004
79,2024-05-04,Joanna Medina MD,Electronics,South,Wholesale,5,4430,Identify people future do condition look baby.,22150
80,2023-11-12,Andrew Cohen,Books,North,Wholesale,90,172,Whole professor company some up born follow who under we enter.,15480
81,2022-10-22,Julie Navarro,Electronics,South,Retail,97,4481,Sister table as political smile baby.,434657
82,2022-10-18,Jennifer Johnson,Clothing,North,Online,48,2919,See because generation involve success cause.,140112
83,2023-11-14,Elizabeth Phillips,Books,North,Wholesale,22,2896,Up energy see hot your only fight including real nearly.,63712
84,2021-07-19,Bruce Kent,Furniture,East,Online,68,2294,Player main maybe front less artist address final even notice record.,155992
